learning_modality,year,student_count,state,population,abbreviation,student_count_per_capita
In Person,2021,29226,Louisiana,4664616,LA,0.006265467511152044
In Person,2021,12917,Massachusetts,6873003,MA,0.0018793822729307698
In Person,2021,189292,Maryland,6037624,MD,0.0313520682970652
In Person,2021,5193,Maine,1340825,ME,0.003872988645050622
In Person,2021,9828,Michigan,9973907,MI,0.0009853711288866037
In Person,2021,10329,Minnesota,5600166,MN,0.00184440961214364
In Person,2021,8575,Missouri,6124160,MO,0.0014001920263350402
In Person,2021,16327,Mississippi,2981835,MS,0.005475487409598452
In Person,2021,2564,Montana,1061705,MT,0.00241498344643757
In Person,2021,27613,North Carolina,10386227,NC,0.002658617031959729
In Person,2021,3874,North Dakota,760394,ND,0.005094727207210999
In Person,2021,7930,Nebraska,1923826,NE,0.004121994400741023
In Person,2021,6971,New Hampshire,1355244,NH,0.005143723196708489
In Person,2021,11360,New Jersey,8885418,NJ,0.001278499221983704
In Person,2021,14798,New Mexico,2097021,NM,0.0070566770671347595
In Person,2021,147766,Nevada,3030281,NV,0.048763134507987874
In Person,2021,14946,New York,19514849,NY,0.0007658783319307262
In Person,2021,11221,Ohio,11675275,OH,0.0009610908522497329
In Person,2021,7671,Oklahoma,3949342,OK,0.0019423488773572914
In Person,2021,16718,Oregon,4176346,OR,0.00400302082250848
In Person,2021,13520,Pennsylvania,12794885,PA,0.0010566722561398559
In Person,2021,12884,Rhode Island,1057798,RI,0.012180019247531192
In Person,2021,47737,South Carolina,5091517,SC,0.009375791144368172
In Person,2021,5193,South Dakota,879336,SD,0.005905592401539344
In Person,2021,34187,Tennessee,6772268,TN,0.005048087287744667
In Person,2021,24638,Texas,28635442,TX,0.0008604022944713059
In Person,2021,25162,Utah,3151239,UT,0.00798479582158002
In Person,2021,52383,Virginia,8509358,VA,0.0061559285671139935
In Person,2021,6477,Vermont,624340,VT,0.01037415510779383
In Person,2021,19630,Washington,7512465,WA,0.002612990543050783
In Person,2021,9601,Wisconsin,5806975,WI,0.00165335652383556
In Person,2021,24537,West Virginia,1807426,WV,0.013575659529076156
In Person,2021,11241,Wyoming,581348,WY,0.019336094731554936
In Person,2022,32954,Alaska,736990,AK,0.044714310913309546
In Person,2022,56571,Alabama,4893186,AL,0.011561179158119066
In Person,2022,21042,Arkansas,3011873,AR,0.006986350354081995
In Person,2022,25155,Arizona,7174064,AZ,0.003506380762702981
In Person,2022,56357,California,39346023,CA,0.001432342984194362
In Person,2022,56355,Colorado,5684926,CO,0.009913057795299359
In Person,2022,28508,Connecticut,3570549,CT,0.007984206350339963
In Person,2022,18243,District of Columbia,701974,DC,0.02598814201095767
In Person,2022,41838,Delaware,967679,DE,0.04323541174294368
In Person,2022,474248,Florida,21216924,FL,0.02235234476024894
In Person,2022,94649,Georgia,10516579,GA,0.008999979936441308
In Person,2022,1810880,Hawaii,1420074,HI,1.2752011514892885
In Person,2022,17279,Iowa,3150011,IA,0.005485377670109723
In Person,2022,23433,Idaho,1754367,ID,0.013356954388676942
In Person,2022,24794,Illinois,12716164,IL,0.0019498018427569824
In Person,2022,30857,Indiana,6696893,IN,0.004607659104005395
In Person,2022,18639,Kansas,2912619,KS,0.006399395183510099
In Person,2022,44401,Kentucky,4461952,KY,0.009951025918701053
In Person,2022,58138,Louisiana,4664616,LA,0.012463619727754654
In Person,2022,27064,Massachusetts,6873003,MA,0.003937725620081935
In Person,2022,375574,Maryland,6037624,MD,0.06220559610866791
In Person,2022,10728,Maine,1340825,ME,0.008001044133276155
In Person,2022,20679,Michigan,9973907,MI,0.0020733098874894263
In Person,2022,20688,Minnesota,5600166,MN,0.0036941762083481096
In Person,2022,18005,Missouri,6124160,MO,0.002939995036053924
In Person,2022,35234,Mississippi,2981835,MS,0.011816213841476809
In Person,2022,5012,Montana,1061705,MT,0.0047207086714294464
In Person,2022,61725,North Carolina,10386227,NC,0.00594296658449695
In Person,2022,7503,North Dakota,760394,ND,0.009867253029350573
In Person,2022,15444,Nebraska,1923826,NE,0.008027753029639895
In Person,2022,14892,New Hampshire,1355244,NH,0.010988427176213287
In Person,2022,23490,New Jersey,8885418,NJ,0.002643657282077219
In Person,2022,26845,New Mexico,2097021,NM,0.012801493165781363
In Person,2022,264638,Nevada,3030281,NV,0.0873311748976415
In Person,2022,31250,New York,19514849,NY,0.0016013446991057936
In Person,2022,23965,Ohio,11675275,OH,0.0020526283106821895
In Person,2022,15336,Oklahoma,3949342,OK,0.00388317851429428
In Person,2022,33003,Oregon,4176346,OR,0.007902362495827693
In Person,2022,27859,Pennsylvania,12794885,PA,0.0021773544662574145
In Person,2022,26670,Rhode Island,1057798,RI,0.02521275328559895
In Person,2022,104268,South Carolina,5091517,SC,0.02047876890129209
In Person,2022,10544,South Dakota,879336,SD,0.011990865835130144
In Person,2022,75677,Tennessee,6772268,TN,0.011174543003909474
In Person,2022,50829,Texas,28635442,TX,0.0017750380804319346
In Person,2022,51631,Utah,3151239,UT,0.016384349140131864
In Person,2022,107891,Virginia,8509358,VA,0.012679099880390506
In Person,2022,13733,Vermont,624340,VT,0.021996027805362462
In Person,2022,40654,Washington,7512465,WA,0.0054115393549254475
In Person,2022,20888,Wisconsin,5806975,WI,0.0035970535433681046
In Person,2022,52036,West Virginia,1807426,WV,0.028790113675469978
In Person,2022,22037,Wyoming,581348,WY,0.03790672712385697
Remote,2021,10748,Alabama,4893186,AL,0.0021965239007877484
Remote,2021,6050,Arizona,7174064,AZ,0.0008433155879289619
Remote,2021,2516,California,39346023,CA,6.39454716935432e-05
Remote,2021,2949,Colorado,5684926,CO,0.0005187402615267112
Remote,2021,19924,Georgia,10516579,GA,0.0018945324330278887
Remote,2021,3145,Idaho,1754367,ID,0.0017926693787559842
Remote,2021,5006,Illinois,12716164,IL,0.000393672179754838
Remote,2021,2370,Indiana,6696893,IN,0.0003538954556986352
Remote,2021,1872,Kansas,2912619,KS,0.0006427205206036217
