cases,deaths,year,state,population,abbreviation,cases_per_capita,deaths_per_capita
101181,1489,2021,North Dakota,760394,ND,0.13306391160372122,0.0019581953566177534
992223,17992,2021,Ohio,11675275,OH,0.08498497894053887,0.0015410343653575612
433025,4788,2021,Oklahoma,3949342,OK,0.10964484716694578,0.0012123538554017353
160084,2348,2021,Oregon,4176346,OR,0.038331115285946134,0.0005622139544951496
975872,24714,2021,Pennsylvania,12794885,PA,0.07627047839820365,0.0019315531167337573
131750,2583,2021,Rhode Island,1057798,RI,0.12455119030287447,0.0024418650819910794
534869,8881,2021,South Carolina,5091517,SC,0.10505100935536502,0.0017442738578698647
114791,1912,2021,South Dakota,879336,SD,0.13054281867227088,0.002174367932166999
779888,11547,2021,Tennessee,6772268,TN,0.11515905749742922,0.0017050417969282964
2734622,46827,2021,Texas,28635442,TX,0.09549781002158095,0.0016352812015264161
379139,2032,2021,Utah,3151239,UT,0.1203142636912021,0.0006448257336241395
17047,215,2021,Vermont,624340,VT,0.02730403305891021,0.000344363648012301
597141,10104,2021,Virginia,8509358,VA,0.07017462421959447,0.0011873986263123493
353981,5206,2021,Washington,7512465,WA,0.04711915463166883,0.0006929815979175943
136019,2546,2021,West Virginia,1807426,WV,0.07525563978829562,0.001408633050537062
626537,7184,2021,Wisconsin,5806975,WI,0.10789386901097388,0.0012371329306566671
55352,693,2021,Wyoming,581348,WY,0.0952131941625326,0.0011920570811286872
509476,10363,2021,Alabama,4893186,AL,0.10411948370652577,0.002117843057672445
60451,293,2021,Alaska,736990,AK,0.08202417943255676,0.000397563060557131
834329,16586,2021,Arizona,7174064,AZ,0.116297958869617,0.0023119392299817787
327781,5507,2021,Arkansas,3011873,AR,0.10882962196613204,0.001828430348822809
3631857,56976,2021,California,39346023,CA,0.0923055679604518,0.0014480751968248481
447840,6136,2021,Colorado,5684926,CO,0.07877675100784073,0.00107934562384805
294328,7807,2021,Connecticut,3570549,CT,0.08243214138778099,0.0021864984908483262
91123,1516,2021,Delaware,967679,DE,0.09416655729844298,0.0015666352168436021
42811,1044,2021,District of Columbia,701974,DC,0.060986589246895186,0.0014872345699413368
1989016,32503,2021,Florida,21216924,FL,0.09374667128939143,0.0015319374288186166
1013340,17801,2021,Georgia,10516579,GA,0.09635642921524196,0.0016926607026866818
28423,448,2021,Hawaii,1420074,HI,0.020015154139854684,0.00031547651742092314
176589,1937,2021,Idaho,1754367,ID,0.10065681810020366,0.001104101935341921
1217258,23255,2021,Illinois,12716164,IL,0.09572525173472125,0.0018287747783057846
677705,12893,2021,Indiana,6696893,IN,0.10119692818744454,0.001925221143595993
344268,5668,2021,Iowa,3150011,IA,0.10929104692015361,0.001799358795889919
301763,4837,2021,Kansas,2912619,KS,0.10360538058702494,0.001660704678504123
421780,5197,2021,Kentucky,4461952,KY,0.09452813477150808,0.0011647368685274964
439002,9955,2021,Louisiana,4664616,LA,0.09411321317767636,0.0021341520931197765
47591,725,2021,Maine,1340825,ME,0.035493819103909904,0.0005407118751514925
395817,8099,2021,Maryland,6037624,MD,0.06555840509445438,0.0013414217248374526
606377,16732,2021,Massachusetts,6873003,MA,0.08822591813214689,0.002434452596630614
679274,16800,2021,Michigan,9973907,MI,0.06810510665479436,0.0016843950921138528
500030,6824,2021,Minnesota,5600166,MN,0.08928842466455458,0.0012185353077033788
301602,6936,2021,Mississippi,2981835,MS,0.10114644170452088,0.0023260844412920233
580040,8806,2021,Missouri,6124160,MO,0.09471339742919846,0.0014379114850036577
102602,1398,2021,Montana,1061705,MT,0.09663889686871589,0.0013167499446644785
205896,2238,2021,Nebraska,1923826,NE,0.10702423192118206,0.0011633068687085008
300177,5148,2021,Nevada,3030281,NV,0.09905913015987626,0.0016988523506565893
79367,1202,2021,New Hampshire,1355244,NH,0.05856288609283642,0.0008869251588643816
848875,24004,2021,New Jersey,8885418,NJ,0.09553574181878668,0.0027015048701141578
188907,3874,2021,New Mexico,2097021,NM,0.09008350417091675,0.0018473825488633639
1762032,48686,2021,New York,19514849,NY,0.09029185929135296,0.0024948181766612696
890484,11783,2021,North Carolina,10386227,NC,0.0857370053629677,0.0011344831958708392
101315,1490,2021,North Dakota,760394,ND,0.1332401360347399,0.0019595104643119225
993681,17992,2021,Ohio,11675275,OH,0.0851098582260375,0.0015410343653575612
433516,4788,2021,Oklahoma,3949342,OK,0.10976917167467391,0.0012123538554017353
160348,2358,2021,Oregon,4176346,OR,0.03839432843926246,0.0005646083921207678
979065,24749,2021,Pennsylvania,12794885,PA,0.07652003124686153,0.0019342885848524626
132184,2588,2021,Rhode Island,1057798,RI,0.12496147657681335,0.0024465918823820807
536100,8933,2021,South Carolina,5091517,SC,0.10529278405630385,0.0017544869240346246
114966,1915,2021,South Dakota,879336,SD,0.13074183247359372,0.0021777795973325327
781593,11555,2021,Tennessee,6772268,TN,0.11541081953637984,0.0017062230850875954
2739163,47000,2021,Texas,28635442,TX,0.09565638972850497,0.0016413226658069395
379838,2037,2021,Utah,3151239,UT,0.1205360812048848,0.0006464124111182935
17106,217,2021,Vermont,624340,VT,0.02739853285069033,0.0003475670307845084
598468,10154,2021,Virginia,8509358,VA,0.07033057017932492,0.0011932745102509496
354906,5212,2021,Washington,7512465,WA,0.04724228332511366,0.000693780270523723
136334,2565,2021,West Virginia,1807426,WV,0.07542992078237228,0.0014191452374813685
627266,7203,2021,Wisconsin,5806975,WI,0.10801940769505637,0.0012404048579509985
55449,693,2021,Wyoming,581348,WY,0.09538004775108885,0.0011920570811286872
510048,10391,2021,Alabama,4893186,AL,0.10423638095915422,0.0021235653008081033
60606,296,2021,Alaska,736990,AK,0.08223449436220301,0.0004016336720986716
834607,16645,2021,Arizona,7174064,AZ,0.11633670956935985,0.0023201632993516646
328045,5515,2021,Arkansas,3011873,AR,0.10891727506438685,0.0018310865033153787
3635429,57213,2021,California,39346023,CA,0.09239635223107555,0.001454098677266569
449206,6144,2021,Colorado,5684926,CO,0.07901703557794772,0.0010807528541268612
295484,7822,2021,Connecticut,3570549,CT,0.08275590112332866,0.002190699525479135
91425,1517,2021,Delaware,967679,DE,0.09447864426116512,0.001567668617382417
42892,1046,2021,District of Columbia,701974,DC,0.061101978135942356,0.001490083678312872
1994109,32597,2021,Florida,21216924,FL,0.09398671551069325,0.0015363678542657739
1015565,17861,2021,Georgia,10516579,GA,0.0965679999170833,0.0016983659800397068
28509,448,2021,Hawaii,1420074,HI,0.02007571436418102,0.00031547651742092314
176910,1940,2021,Idaho,1754367,ID,0.10083979007813075,0.001105811953827221
